rank,finalWorth,personName,age,industries,countryOfCitizenship,selfMade,gender,birthYear,gdp_country,life_expectancy_country,total_tax_rate_country,population_country,latitude_country,longitude_country
108,15800,Jorge Paulo Lemann & family,83.0,Food & Beverage,Brazil,True,M,1939.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
112,15600,Dilip Shanghvi,67.0,Healthcare,India,True,M,1955.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
113,15500,Robert Pera,45.0,Technology,United States,True,M,1978.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
114,15300,Radhakishan Damani,68.0,Fashion & Retail,India,True,M,1955.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
115,15200,Huang Shilin,56.0,Automotive,China,True,M,1967.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
116,14900,Dhanin Chearavanont,83.0,Diversified,Thailand,False,M,1939.0,"$543,649,976,166 ",76.9,29.5,69625582.0,15.870032,100.992541
116,14900,David Green & family,81.0,Fashion & Retail,United States,True,M,1941.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
118,14800,Charoen Sirivadhanabhakdi,78.0,Food & Beverage,Thailand,True,M,1944.0,"$543,649,976,166 ",76.9,29.5,69625582.0,15.870032,100.992541
119,14700,Charlene de Carvalho-Heineken & family,68.0,Food & Beverage,Netherlands,False,F,1954.0,"$2,827,113,184,696 ",81.3,30.6,66834405.0,55.378051,-3.435973
120,14600,Xu Hang,60.0,Healthcare,Hong Kong,True,M,1962.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
121,14500,Wei Jianjun & family,59.0,Automotive,China,True,M,1964.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
122,14400,Alisher Usmanov,69.0,Metals & Mining,Russia,True,M,1953.0,"$57,921,286,440 ",71.6,31.6,33580650.0,41.377491,64.585262
123,14300,Goh Cheng Liang,95.0,Manufacturing,Singapore,True,M,1927.0,"$372,062,527,489 ",83.1,21.0,5703569.0,1.352083,103.819836
124,14200,Kumar Birla,55.0,Diversified,India,False,M,1967.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
124,14200,Aliko Dangote,65.0,Manufacturing,Nigeria,True,M,1957.0,"$448,120,428,859 ",54.3,34.8,200963599.0,9.081999,8.675277
127,14000,Idan Ofer,67.0,Diversified,Israel,False,M,1955.0,"$2,827,113,184,696 ",81.3,30.6,66834405.0,55.378051,-3.435973
128,13900,Chen Bang,57.0,Healthcare,China,True,M,1965.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
130,13700,John Fredriksen,78.0,Logistics,Cyprus,True,M,1945.0,"$2,827,113,184,696 ",81.3,30.6,66834405.0,55.378051,-3.435973
130,13700,Diane Hendricks,76.0,Construction & Engineering,United States,True,F,1947.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
